"WORD","FREQ"
"the",103443
"to",56911
"and",52267
"a",49802
"of",45281
"in",35124
"i",30038
"that",22989
"is",22733
"for",21316
"it",18640
"on",16571
"you",14733
"with",14449
"was",13431
"at",11678
"this",11475
"my",11060
"have",10932
"as",10829
"but",10463
"be",10287
"are",9448
"he",9413
"not",8695
"from",8320
"we",8180
"said",7593
"by",7436
"so",7169
"they",6912
"an",6520
"or",6460
"his",6439
"all",6393
"one",6260
"will",5913
"just",5828
"out",5774
"me",5748
"about",5706
"has",5696
"up",5533
"when",5238
"if",5150
"can",5068
"your",4955
"what",4811
"had",4748
"there",4717
"like",4699
"who",4676
"more",4669
"some",4527
"their",4461
"would",4366
"do",4364
"her",4195
"get",4060
"she",4015
"our",3936
"been",3935
"new",3884
"no",3862
"time",3828
"which",3739
"were",3660
"them",3604
"people",3292
"how",3273
"first",3192
"now",3177
"also",3079
"into",3047
"than",3033
"know",2957
"good",2953
"its",2919
"day",2909
"us",2877
"it's",2870
"other",2832
"after",2801
"then",2757
"back",2714
"over",2697
"him",2678
"two",2592
"i'm",2589
"see",2580
"only",2567
"year",2545
"make",2505
"love",2486
"could",2435
"because",2411
"much",2384
"last",2328
"even",2300
"don't",2267
"really",2250
"going",2195
"think",2194
"am",2182
"go",2175
"years",2151
"want",2120
"way",2092
"work",2090
"many",2016
"well",1997
"down",1987
"too",1943
"still",1939
"any",1935
"here",1914
"those",1890
"where",1874
"little",1868
"got",1864
"being",1825
"most",1794
"these",1785
"say",1779
"before",1774
"may",1748
"off",1726
"need",1710
"home",1695
"through",1693
"did",1669
"best",1665
"great",1664
"right",1645
"very",1637
"today",1636
"made",1623
"come",1614
"life",1603
"night",1586
"next",1547
"long",1531
"take",1522
"school",1515
"while",1493
"–",1445
"around",1428
"few",1412
"another",1411
"never",1400
"week",1396
"state",1388
"should",1383
"why",1383
"things",1367
"three",1363
"something",1344
"world",1322
"own",1296
"it’s",1284
"always",1278
"every",1268
"look",1250
"city",1224
"again",1193
"since",1181
"might",1153
"same",1151
"give",1130
"thing",1125
"put",1123
"house",1121
"such",1113
"million",1100
"against",1098
"thanks",1093
"each",1091
"place",1091
"better",1083
"found",1083
"team",1056
"big",1050
"book",1050
"keep",1040
"man",1040
"use",1037
"until",1022
"used",1021
"days",999
"part",985
"does",984
"show",979
"between",977
"feel",975
"getting",972
"end",966
"high",963
"start",960
"business",956
"family",954
"help",954
"percent",951
"county",948
"says",940
"sure",939
"that's",937
"find",934
"game",929
"i’m",928
"enough",924
"season",919
"trying",919
"though",915
"least",909
"can't",904
"didn't",881
"both",879
"play",879
"under",870
"lot",861
"let",859
"don’t",858
"past",857
"read",857
"room",856
"happy",855
"during",853
"old",852
"open",847
"yet",847
"anything",844
"i've",844
"thought",840
"set",838
"food",837
"course",836
"ever",826
"told",826
"without",824
"rt",816
"having",814
"hope",811
"point",800
"company",797
"away",789
"heart",789
"small",789
"children",787
"doing",784
"lol",784
"called",780
"according",778
"u",773
"early",772
"went",772
"once",768
"real",768
"actually",766
"including",765
"hard",763
"took",763
"friends",757
"head",757
"different",756
"kind",756
"try",756
"asked",740
"second",739
"using",736
"class",733
"far",733
"money",729
"others",725
"times",725
"change",724
"someone",724
"god",719
"wanted",719
"top",717
"able",714
"bad",714
"done",714
"several",710
"—",709
"making",709
"looking",707
"must",707
"pm",706
"came",701
"makes",701
"black",699
"left",698
"everyone",691
"everything",691
"public",690
"story",689
"plan",688
"free",685
"teacher",681
"probably",679
"area",678
"police",675
"call",667
"law",662
"already",656
"full",654
"job",654
"name",654
"pretty",654
"bit",653
"live",651
"oh",648
"less",646
"stop",646
"line",644
"officials",641
"information",640
"however",639
"morning",639
"working",638
"along",637
"lost",637
"st",635
"water",626
"office",617
"books",616
"grade",615
"nothing",614
"please",614
"whole",614
"follow",613
"post",611
"government",610
"tonight",606
"believe",605
"often",604
"tell",604
"thank",604
"th",602
"coming",601
"maybe",601
"center",600
"doesn't",600
"started",600
"case",599
"local",599
"hours",598
"run",595
"american",594
"fun",591
"yes",591
"saturday",587
"month",586
"bill",585
"there's",581
"white",580
"you're",580
"group",576
"support",576
"among",575
"nice",575
"series",575
"weeks",574
"fact",570
"party",568
"wait",566
"near",563
"i'll",561
"person",561
"students",557
"ago",555
"myself",555
"care",553
"win",552
"we're",551
"national",547
"front",546
"seen",545
"needs",544
"almost",538
"third",538
"health",537
"tax",536
"blog",535
"street",535
"child",534
"minutes",529
"rather",529
"federal",526
"president",526
"car",525
"former",524
"ready",524
"number",521
"together",519
"instead",517
"quite",516
"idea",515
"four",509
"problem",509
"face",508
"york",508
"anyone",507
"mind",500
"late",499
"share",499
"recent",498
"especially",496
"movie",494
"women",493
"writing",493
"mr",492
"south",492
"saw",491
"girl",489
"talk",489
"become",488
"friday",488
"decided",486
"leave",486
"hit",485
"move",485
"that’s",485
"deal",484
"soon",484
"pick",481
"board",480
"later",479
"check",478
"comes",477
"special",477
"news",475
"needed",474
"remember",473
"young",472
"guys",471
"town",471
"outside",470
"s",470
"university",470
"add",468
"half",468
"added",467
"close",467
"companies",467
"shot",467
"favorite",464
"red",464
"couple",463
"true",463
"list",462
"service",462
"kids",461
"side",461
"program",460
"sunday",460
"he's",459
"create",458
"goes",457
"members",457
"following",456
"history",456
"running",456
"college",455
"general",454
"won't",453
"friend",452
"cut",451
