"WORD","FREQ"
"the",1040749
"to",569841
"and",544970
"a",502799
"of",447915
"in",347522
"i",305818
"that",223500
"is",216454
"for",215989
"it",183175
"on",160879
"with",152991
"you",152904
"was",138982
"at",114247
"this",113033
"have",108414
"my",108391
"as",108236
"be",107094
"but",102288
"are",98414
"he",96401
"from",84683
"we",83664
"not",82387
"so",73198
"by",70750
"they",69855
"said",69311
"or",69063
"his",67157
"all",65490
"an",63943
"will",63610
"me",60942
"about",60274
"one",58819
"out",57261
"has",57190
"up",56706
"when",53676
"just",53412
"who",52976
"what",52478
"if",52292
"had",51505
"your",51265
"more",51205
"like",49803
"can",48615
"her",47110
"do",44953
"their",44359
"there",44224
"would",43367
"time",42227
"she",42113
"some",42063
"been",41097
"were",40163
"get",38710
"no",38584
"our",38398
"new",36847
"them",34649
"which",33773
"now",33524
"how",32339
"it's",32071
"people",32071
"than",30386
"us",30249
"day",29971
"also",29761
"good",29571
"into",29376
"after",28570
"first",28169
"other",28145
"know",28143
"only",27242
"then",26907
"i'm",26434
"its",26185
"him",25953
"two",25939
"make",25876
"back",25844
"over",25689
"because",25482
"year",25243
"see",25184
"last",24721
"think",24468
"could",24405
"love",24363
"even",23890
"go",23846
"much",23441
"am",23063
"going",23052
"way",22328
"really",21910
"well",21865
"years",21640
"most",21260
"don't",20502
"those",20279
"work",20058
"many",19965
"want",19683
"too",19668
"any",19613
"where",19609
"did",19370
"great",19324
"very",19318
"before",19196
"still",19073
"here",19036
"got",19016
"off",18582
"these",18435
"right",18054
"being",17982
"made",17801
"down",17481
"little",17398
"while",17366
"may",17350
"need",17259
"say",17191
"life",17135
"home",16716
"take",16521
"today",16463
"through",16411
"things",15545
"should",15446
"state",15246
"never",15228
"next",15000
"around",14903
"–",14808
"school",14648
"week",14581
"come",14473
"something",14454
"every",14259
"another",14180
"best",13961
"long",13504
"why",13401
"since",13268
"few",13266
"world",13100
"city",13073
"three",12953
"night",12887
"always",12594
"look",12412
"own",12214
"such",12190
"place",11939
"it’s",11835
"same",11781
"big",11747
"game",11743
"use",11590
"better",11456
"that's",11431
"each",11415
"—",11381
"thanks",11369
"again",11363
"feel",11331
"find",11298
"lot",11282
"thing",11195
"part",11176
"man",11148
"does",11023
"says",10979
"help",10921
"until",10909
"both",10854
"days",10841
"show",10730
"end",10449
"house",10448
"sure",10351
"family",10331
"put",10290
"keep",10001
"might",9975
"against",9818
"team",9805
"give",9791
"used",9772
"though",9763
"book",9726
"can't",9566
"getting",9413
"happy",9397
"old",9393
"ever",9276
"high",9266
"pm",9251
"season",9192
"found",9189
"didn't",9174
"went",9131
"percent",9126
"thought",9093
"million",9086
"away",8938
"start",8931
"enough",8918
"i've",8901
"during",8871
"without",8857
"rt",8769
"play",8754
"doing",8753
"times",8740
"left",8726
"between",8677
"top",8676
"under",8646
"hope",8567
"looking",8564
"let",8472
"came",8442
"done",8439
"second",8397
"having",8327
"told",8254
"don’t",8232
"friends",8205
"free",8157
"st",8152
"point",8119
"story",8119
"once",8085
"set",8084
"county",8065
"i’m",8051
"u",7965
"different",7918
"public",7888
"money",7841
"making",7836
"read",7815
"already",7786
"tell",7779
"th",7765
"god",7697
"yet",7678
"hard",7588
"took",7576
"actually",7569
"least",7564
"called",7542
"makes",7500
"live",7499
"started",7499
"pretty",7474
"must",7447
"lol",7333
"children",7332
"everyone",7323
"business",7322
"four",7297
"company",7263
"working",7249
"morning",7236
"room",7226
"job",7198
"food",7196
"call",7160
"bad",7156
"trying",7109
"try",7106
"police",7073
"past",7072
"you're",7050
"someone",7038
"including",7028
"real",7016
"small",7008
"later",7000
"everything",6947
"course",6942
"anything",6935
"bit",6919
"fun",6909
"run",6891
"head",6848
"far",6817
"wanted",6811
"able",6785
"ago",6733
"water",6716
"open",6692
"kids",6684
"follow",6631
"nothing",6617
"others",6534
"case",6487
"along",6424
"myself",6395
"together",6381
"yes",6314
"kind",6296
"change",6290
"month",6280
"however",6264
"we're",6264
"less",6252
"coming",6230
"line",6223
"post",6220
"believe",6178
"center",6145
"name",6123
"person",6121
"care",6107
"according",6102
"hit",6099
"maybe",6084
"thank",6081
"early",6053
"please",6053
"white",6044
"nice",6027
"tonight",6016
"five",6008
"using",6004
"several",5999
"president",5998
"he's",5997
"music",5990
"office",5965
"win",5950
"group",5943
"minutes",5934
"hours",5923
"black",5916
"friday",5914
"heart",5906
"side",5882
"full",5875
"weeks",5852
"local",5838
"oh",5801
"former",5769
"asked",5759
"almost",5749
"doesn't",5730
"blog",5718
"party",5688
"stop",5684
"health",5675
"young",5653
"government",5621
"i'll",5616
"idea",5615
"law",5582
"add",5551
"number",5545
"american",5504
"fact",5471
"car",5458
"news",5456
"months",5451
"probably",5450
"there's",5437
"area",5427
"plan",5422
"taking",5417
"wait",5392
"soon",5391
"become",5382
"saw",5351
"half",5348
"community",5339
"lost",5317
"women",5297
"national",5286
"country",5234
"students",5231
"often",5224
"anyone",5221
"comes",5220
"mind",5194
"remember",5180
"support",5159
"behind",5155
"s",5146
"games",5119
"street",5101
"weekend",5087
"share",5085
"check",5063
"park",5061
"true",5028
"program",5003
"whole",4985
"guys",4976
"seen",4949
"face",4941
"talk",4934
"board",4921
"friend",4921
"quite",4921
"girl",4917
"power",4896
"whether",4870
"instead",4860
"system",4850
"series",4843
"list",4841
"saying",4837
"couple",4829
"service",4823
"given",4796
"large",4782
"sometimes",4777
"john",4766
"monday",4766
"books",4759
"special",4756
"court",4750
"cut",4749
"members",4748
"writing",4742
"else",4734
"class",4733
"ready",4731
"information",4717
"playing",4716
"watch",4680
"sunday",4676
"south",4662
"april",4655
"project",4647
"across",4638
"important",4628
"officials",4622
"bring",4621
"close",4615
"words",4594
"mean",4583
"seems",4576
"knew",4506
"rather",4482
"beautiful",4471
"road",4443
"turn",4434
"either",4431
"question",4429
"university",4426
"men",4422
"late",4417
"looks",4412
"finally",4405
"six",4403
"gave",4402
"move",4397
"summer",4396
"experience",4395
"tomorrow",4392
"points",4387
"decided",4378
"they're",4378
"favorite",4366
"wasn't",4359
"hear",4353
"light",4353
"needs",4346
"leave",4339
"saturday",4332
"forward",4320
"ask",4315
"movie",4315
"stay",4313
"reading",4308
"york",4289
"third",4286
"running",4283
"body",4282
"report",4268
"deal",4260
"pay",4256
"reason",4248
"child",4246
"means",4243
"matter",4242
"store",4238
"mother",4234
"following",4232
"didn’t",4227
"red",4220
"art",4212
"isn't",4209
"amazing",4184
"lead",4184
"felt",4181
"bill",4166
"easy",4164
"thursday",4158
"although",4157
"federal",4156
"miss",4154
"needed",4152
"order",4150
"outside",4144
"college",4123
"hand",4123
"future",4096
"problem",4085
"san",4080
"guy",4077
"i’ve",4077
"cool",4060
"played",4058
"beer",4041
"phone",4041
"watching",4041
"especially",4016
"death",4011
"history",4010
"mr",4010
"tax",4010
"district",3999
"thinking",3991
"market",3989
"among",3987
"wrong",3985
"buy",3962
"short",3956
"ohio",3953
"word",3949
"taken",3943
"process",3936
"baby",3927
"living",3918
"possible",3918
"perfect",3915
"moment",3910
"added",3892
"north",3880
"worked",3880
"began",3863
"within",3861
"final",3855
"known",3843
"feeling",3837
"social",3837
"woman",3834
"learn",3825
"twitter",3825
"fall",3823
"film",3822
"rest",3822
"visit",3820
"green",3817
"that’s",3806
"town",3804
"states",3803
"front",3801
"awesome",3774
"video",3774
"stuff",3772
"event",3767
"tried",3761
"general",3760
"schools",3760
"per",3746
"parents",3743
"near",3742
"strong",3732
"building",3731
"online",3731
"heard",3726
"shot",3723
"eyes",3712
"goes",3707
"d",3684
"wants",3674
"i'd",3673
"turned",3671
"write",3660
"west",3656
"looked",3652
"wish",3650
"nearly",3648
"single",3643
"meeting",3638
"lives",3622
"hot",3602
"excited",3596
"chance",3591
"inside",3584
"space",3577
"talking",3576
"hey",3569
"tuesday",3567
"clear",3561
"issue",3561
"gets",3557
"recent",3544
"enjoy",3542
"sense",3539
"starting",3531
"march",3528
"above",3524
"create",3523
"players",3521
"card",3514
"takes",3498
"won't",3496
