"ngrams","freq","last"
"at the end of ",218,"the"
"the end of the ",131,"day"
"for a home assessed ",124,"at"
"by the end of ",110,"the"
"as a result of ",109,"the"
"in the middle of ",103,"the"
"defensive player of the ",93,"year"
"for the rest of ",91,"the"
"get in the way ",87,"of"
"here are some of ",85,"the"
"for the first time ",82,"in"
"there are going to ",73,"be"
"everything in his power ",73,"to"
"there are a lot ",72,"of"
"i was going to ",70,"do"
"died as a result ",69,"of"
"the other side of ",68,"the"
"charlie and the chocolate ",68,"factory"
"is little more than ",67,"a"
"for the first time ",67,"since"
"to get back on ",66,"the"
"is one of the ",66,"most"
"at the top of ",66,"the"
"for at least three ",66,"years"
"in a variety of ",66,"ways"
"its going to be ",65,"a"
"driving under the influence ",65,"of"
"who was in this ",64,"predicament"
"grace and mercy shown ",64,"to"
"brother your father your ",64,"grandfather"
"we are going to ",64,"go"
"he has done everything ",64,"in"
"father your grandfather your ",64,"uncle"
"fresh for those who ",64,"have"
"this was your son ",64,"your"
"done everything in his ",64,"power"
"him when he has ",64,"done"
"was your son your ",64,"brother"
"i am at peace ",64,"with"
"includes three hours in ",64,"the"
"son your brother your ",64,"father"
"the house financial services ",64,"committee"
"become the man he ",64,"is"
"an elected board would ",64,"be"
"predicament wouldnt you want ",64,"grace"
"his power to change ",64,"and"
"the man he is ",64,"today"
"change and become the ",64,"man"
"which includes three hours ",64,"in"
"shown to him when ",64,"he"
"of the lakers first ",64,"12"
"your father your grandfather ",64,"your"
"in his power to ",64,"change"
"are going to go ",64,"through"
"uncle who was in ",64,"this"
"was in this predicament ",64,"wouldnt"
"in this predicament wouldnt ",64,"you"
"wouldnt you want grace ",64,"and"
"your uncle who was ",64,"in"
"and mercy shown to ",64,"him"
"mercy shown to him ",64,"when"
"power to change and ",64,"become"
"your son your brother ",64,"your"
"has done everything in ",64,"his"
"grandfather your uncle who ",64,"was"
"your grandfather your uncle ",64,"who"
"the lakers first 12 ",64,"points"
"to change and become ",64,"the"
"this predicament wouldnt you ",64,"want"
"to him when he ",64,"has"
"if this was your ",64,"son"
"want grace and mercy ",64,"shown"
"when he has done ",64,"everything"
"am at peace with ",64,"my"
"you want grace and ",64,"mercy"
"a lot of different ",64,"things"
"your brother your father ",64,"your"
"and become the man ",64,"he"
"know what was going ",63,"on"
"to be a part ",63,"of"
"spent much of his ",63,"career"
"county executive charlie a ",63,"dooley"
"a lot of hard ",63,"work"
"for the past 18 ",63,"years"
"the nfc championship game ",63,"against"
"who died as a ",63,"result"
"nfc championship game against ",63,"the"
"to know what was ",63,"going"
"when i was a ",63,"kid"
"a little more than ",63,"a"
"an area hospital with ",62,"nonlifethreatening"
"of its net oil ",62,"export"
"by los gatos wilcox ",62,"and"
"for not fully embracing ",62,"turkey"
"use of a motor ",62,"vehicle"
"area hospital with nonlifethreatening ",62,"injuries"
"in his past four ",62,"starts"
"do a lot of ",62,"different"
"in the first half ",62,"and"
"�none of them have ",62,"to"
"had a 7percentagepoint lead ",62,"among"
"its net oil export ",62,"revenue"
"be the washington nationals ",62,"or"
"birthday fall on a ",62,"weekend"
"of them have to ",62,"do"
"to an area hospital ",62,"with"
"hospital with nonlifethreatening injuries ",62,"and"
"unlawful use of a ",62,"motor"
"them have to do ",62,"with"
"st louis and kansas ",62,"city"
"said in an email ",62,"to"
"quarles was a resourceful ",62,"psycho"
"the rest of the ",60,"world"
"if you would like ",56,"to"
"this is one of ",54,"the"
"the south carolina mortgage ",54,"refinancing"
"there are a number ",54,"of"
"it was one of ",52,"the"
"with the rest of ",51,"the"
"i am not going ",50,"to"
"to see if i ",49,"can"
"to get out of ",49,"the"
"at the same time ",47,"the"
"the end of the ",46,"year"
"is one of the ",46,"best"
"i had a lot ",46,"of"
"on both sides of ",45,"the"
"while at the same ",45,"time"
"on the other hand ",44,"the"
"this is the first ",44,"time"
"i felt like i ",44,"was"
"trying to figure out ",43,"what"
"on the other side ",43,"of"
"as far as i ",43,"know"
"you will be able ",43,"to"
"have something to do ",43,"with"
"see if i can ",43,"get"
"my husband and i ",42,"were"
"the rest of the ",42,"season"
"the right side of ",42,"the"
"to keep up with ",42,"the"
"the problem is that ",42,"the"
"at the time of ",42,"the"
"thank you so much ",42,"for"
"on the right side ",42,"of"
"is going to be ",42,"a"
"the bottom of the ",41,"page"
"over the years has ",41,"been"
"will be one of ",41,"the"
"for the first time ",41,"with"
"the middle of the ",40,"night"
"i thought it might ",40,"be"
"to the front of ",40,"the"
"you need to do ",40,"to"
"to be a lot ",40,"of"
"in the center of ",40,"the"
"dont know what i ",40,"would"
"to do a lot ",40,"of"
"to take part in ",40,"the"
"over the past few ",40,"weeks"
"is the best way ",40,"to"
"i dont know what ",40,"i"
"look at some of ",40,"the"
"and you don’t have ",39,"to"
"the front of the ",39,"house"
"out of his way ",39,"to"
"to the bottom of ",39,"the"
"the top of the ",39,"list"
"in the name of ",39,"the"
"in the bottom of ",39,"the"
"i dont want to ",39,"go"
"know what i would ",38,"do"
"the world a better ",38,"place"
"for a long time ",38,"and"
"make the world a ",38,"better"
"to say it was ",38,"a"
"to get close to ",38,"the"
"but the rest of ",38,"the"
"it took a long ",38,"time"
"for those of you ",38,"who"
"at the same time ",37,"as"
"the past couple of ",37,"years"
"for a couple of ",37,"weeks"
"in an attempt to ",37,"make"
"that is made up ",37,"of"
"what i would do ",37,"without"
"one of my least ",37,"favorite"
"to hear more about ",37,"the"
"am i going to ",37,"do"
"at the bottom of ",37,"the"
"director of the center ",37,"for"
"and there was no ",37,"one"
"on the other hand ",37,"you"
"they are going to ",37,"be"
"are going to have ",37,"to"
"but i am not ",37,"going"
"would be one of ",37,"the"
"to be part of ",37,"the"
"despite the fact that ",37,"the"
"for at least a ",37,"year"
"is not to say ",37,"that"
"all the way back ",36,"to"
"if that is the ",36,"case"
"it out of the ",36,"park"
"a pain in the ",36,"neck"
"we are going to ",36,"have"
"there were a lot ",36,"of"
"more than a couple ",36,"of"
"gone to great lengths ",36,"to"
"got to be kidding ",36,"me"
"i want to be ",36,"a"
"dont want to go ",36,"to"
"you should have seen ",36,"the"
"the best of the ",36,"best"
"going to be a ",36,"fun"
"its not going to ",36,"be"
"for the second time ",36,"this"
"to get in on ",36,"the"
"over and over and ",36,"over"
"there was a time ",36,"when"
"im trying to figure ",36,"out"
"the best player in ",36,"the"
"took a long time ",35,"to"
"wants to go back ",35,"to"
"these skills are the ",35,"program"
"its far too early ",35,"to"
"to make the world ",35,"a"
"all the time in ",35,"the"
"but here are some ",35,"of"
"i dont think its ",35,"the"
"do a better job ",35,"of"
"front of the south ",35,"carolina"
"and i dont want ",35,"to"
"given the circumstances of ",35,"the"
"be a part of ",35,"the"
"i love my job ",35,"i"
"we did a lot ",35,"of"
"this might be a ",35,"good"
"coming to terms with ",35,"the"
"her way out of ",35,"the"
"this is not to ",35,"say"
"be in two places ",35,"at"
"to be very very ",35,"careful"
"if i can get ",35,"some"
"over the last couple ",35,"of"
"it was interesting to ",35,"see"
"the time in the ",35,"world"
"it is not uncommon ",35,"for"
"absolutely have a lot ",35,"of"
"was the driving force ",35,"behind"
"would be less likely ",35,"to"
"has been involved in ",35,"many"
"has been one of ",35,"the"
"what they can do ",35,"to"
"not the least of ",35,"which"
"if you listen to ",35,"the"
"have one thing in ",35,"common"
"to be as good ",35,"as"
"can be found on ",35,"the"
"is in the front ",35,"of"
"the elephant in the ",35,"room"
"might be a good ",35,"time"
"what they have in ",35,"common"
"looking for a way ",35,"to"
"i think he should ",35,"be"
"a lot of credit ",35,"to"
"there all of the ",35,"time"
"in new york city ",35,"and"
"this will be the ",35,"year"
"in front of the ",35,"south"
"more than he did ",35,"he"
"sit around and wait ",35,"for"
"and i was able ",35,"to"
"what am i going ",34,"to"
"in this part of ",34,"the"
"under the influence of ",34,"alcohol"
"was also suspended for ",34,"two"
"what it can do ",34,"to"
