"ngrams","freq","last"
"of ",30133,"the"
"in ",25718,"the"
"to ",13896,"the"
"on ",12844,"the"
"for ",11448,"the"
"to ",9900,"be"
"at ",8670,"the"
"in ",8295,"a"
"and ",8226,"the"
"with ",7486,"the"
"it ",6142,"was"
"is ",6012,"a"
"of ",5550,"a"
"with ",5489,"a"
"it ",5398,"is"
"for ",5349,"a"
"from ",5285,"the"
"as ",5261,"a"
"i ",5247,"was"
"will ",5199,"be"
"and ",5161,"i"
"i ",5150,"have"
"is ",5047,"the"
"one ",4957,"of"
"by ",4750,"the"
"going ",4363,"to"
"i ",4215,"am"
"have ",4123,"a"
"on ",4009,"a"
"to ",3931,"get"
"if ",3882,"you"
"that ",3797,"the"
"and ",3766,"a"
"have ",3764,"to"
"was ",3710,"a"
"the ",3696,"first"
"to ",3627,"a"
"that ",3621,"i"
"this ",3564,"is"
"he ",3416,"was"
"to ",3411,"do"
"out ",3320,"of"
"i ",3301,"think"
"have ",3294,"been"
"want ",3292,"to"
"has ",3190,"been"
"to ",3171,"make"
"as ",3132,"the"
"the ",3089,"same"
"a ",3053,"lot"
"of ",2947,"my"
"to ",2896,"see"
"but ",2869,"i"
"a ",2824,"few"
"would ",2763,"be"
"more ",2756,"than"
"all ",2737,"the"
"be ",2725,"a"
"about ",2698,"the"
"a ",2653,"little"
"you ",2633,"can"
"he ",2631,"said"
"the ",2581,"best"
"they ",2567,"are"
"when ",2511,"i"
"there ",2473,"are"
"i ",2443,"had"
"in ",2403,"my"
"the ",2376,"most"
"there ",2368,"is"
"i ",2366,"can"
"into ",2356,"the"
"is ",2329,"not"
"to ",2317,"have"
"over ",2301,"the"
"we ",2297,"are"
"need ",2280,"to"
"had ",2278,"a"
"i ",2258,"love"
"lot ",2242,"of"
"you ",2238,"have"
"that ",2233,"is"
"you ",2178,"are"
"i ",2160,"dont"
"a ",2159,"good"
"part ",2152,"of"
"at ",2127,"least"
"to ",2126,"go"
"but ",2114,"the"
"we ",2113,"have"
"can ",2084,"be"
"i ",2069,"know"
"was ",2061,"the"
"of ",2018,"his"
"so ",1980,"i"
"the ",1975,"new"
"a ",1932,"great"
"the ",1921,"last"
"as ",1914,"well"
"the ",1904,"world"
"is ",1875,"that"
"the ",1874,"other"
"a ",1874,"new"
"and ",1864,"then"
"some ",1859,"of"
"the ",1857,"time"
"according ",1856,"to"
"all ",1845,"of"
"able ",1828,"to"
"the ",1823,"way"
"i ",1822,"would"
"in ",1821,"his"
"like ",1817,"a"
"i ",1813,"will"
"to ",1789,"take"
"in ",1762,"this"
"up ",1748,"to"
"said ",1694,"the"
"i ",1692,"just"
"that ",1681,"he"
"and ",1672,"it"
"which ",1641,"is"
"back ",1638,"to"
"trying ",1635,"to"
"at ",1612,"a"
"but ",1609,"it"
"by ",1598,"a"
"he ",1592,"is"
"this ",1590,"year"
"of ",1584,"this"
"be ",1576,"the"
"has ",1559,"a"
"as ",1537,"i"
"thank ",1530,"you"
"on ",1525,"my"
"for ",1519,"me"
"the ",1500,"next"
"its ",1499,"a"
"if ",1499,"i"
"and ",1493,"that"
"said ",1492,"he"
"they ",1490,"were"
"that ",1481,"it"
"from ",1459,"a"
"to ",1452,"me"
"thanks ",1437,"for"
"the ",1415,"only"
"of ",1413,"our"
"did ",1410,"not"
"time ",1399,"to"
"so ",1382,"much"
"way ",1373,"to"
"should ",1373,"be"
"she ",1368,"was"
"the ",1365,"day"
"the ",1363,"end"
"me ",1362,"to"
"into ",1362,"a"
"when ",1358,"the"
"do ",1355,"you"
"what ",1349,"i"
"when ",1348,"you"
"of ",1347,"their"
"new ",1345,"york"
"through ",1321,"the"
"there ",1319,"was"
"that ",1312,"they"
"in ",1311,"an"
"of ",1310,"course"
"of ",1307,"them"
"wanted ",1303,"to"
"that ",1301,"was"
"may ",1301,"be"
"kind ",1299,"of"
"i ",1299,"could"
"that ",1295,"we"
"i ",1293,"want"
"to ",1291,"say"
"a ",1286,"bit"
"off ",1281,"the"
"you ",1277,"know"
"if ",1276,"the"
"had ",1256,"to"
"not ",1240,"a"
"during ",1225,"the"
"are ",1221,"you"
"it ",1212,"would"
"are ",1208,"the"
"they ",1193,"have"
"most ",1190,"of"
"he ",1186,"has"
"we ",1185,"were"
"like ",1184,"to"
"would ",1184,"have"
"with ",1180,"my"
"is ",1178,"to"
"the ",1176,"state"
"i ",1169,"do"
"when ",1168,"he"
"around ",1168,"the"
"out ",1165,"the"
"go ",1164,"to"
"to ",1159,"my"
"because ",1159,"of"
"have ",1155,"the"
"right ",1151,"now"
"up ",1143,"and"
"used ",1141,"to"
"a ",1139,"big"
"to ",1139,"find"
"not ",1138,"to"
"and ",1134,"they"
"had ",1125,"been"
"that ",1119,"you"
"get ",1118,"a"
"and ",1115,"we"
"to ",1111,"work"
"and ",1100,"his"
"it ",1097,"has"
"and ",1097,"other"
"this ",1096,"week"
"it ",1093,"to"
"is ",1091,"in"
"and ",1091,"in"
"the ",1085,"city"
"the ",1081,"house"
"years ",1081,"ago"
"end ",1070,"of"
"to ",1067,"keep"
"up ",1067,"with"
"after ",1065,"the"
"i ",1060,"got"
"last ",1059,"year"
"and ",1055,"he"
"like ",1055,"the"
"he ",1051,"had"
"such ",1049,"as"
"who ",1045,"is"
"how ",1044,"to"
"a ",1043,"couple"
"people ",1035,"who"
"look ",1034,"at"
"could ",1034,"be"
"to ",1030,"know"
"i ",1028,"did"
"i ",1027,"cant"
"it ",1025,"will"
"in ",1025,"their"
"try ",1020,"to"
"because ",1007,"i"
"such ",1005,"a"
"of ",996,"it"
"the ",994,"us"
"in ",992,"your"
"the ",987,"right"
"the ",986,"past"
"well ",985,"as"
"take ",984,"a"
"and ",984,"to"
"than ",979,"a"
"of ",979,"those"
"up ",979,"the"
"to ",969,"help"
"of ",967,"all"
"you ",966,"will"
"before ",966,"the"
"not ",964,"only"
"of ",962,"that"
"i ",961,"need"
"she ",961,"said"
"the ",959,"rest"
"the ",955,"company"
"me ",954,"and"
"a ",949,"very"
"not ",948,"the"
"it ",948,"and"
"the ",944,"two"
"high ",943,"school"
"out ",943,"to"
"of ",942,"your"
"couple ",942,"of"
"i ",940,"hope"
"for ",939,"my"
"to ",936,"use"
"what ",934,"is"
"do ",932,"not"
"and ",931,"you"
"i ",930,"thought"
"in ",923,"our"
"we ",921,"can"
"of ",917,"her"
"you ",915,"want"
"make ",900,"a"
"the ",900,"second"
"to ",899,"this"
"on ",897,"his"
"are ",897,"a"
"the ",895,"whole"
"under ",889,"the"
"i ",889,"really"
"the ",886,"one"
"about ",885,"it"
"im ",885,"not"
"who ",878,"are"
"know ",871,"what"
"of ",867,"these"
"than ",866,"the"
"was ",865,"in"
"to ",862,"give"
