"ngram","target","top","accuracy"
"going to ","have","the",NA
"in october ","and","and","1"
"living with ","his","the",NA
"deep vein ","thrombosis","NA",NA
"i wish ","i","i","1"
"and have ","a","a","1"
"was not ","a","a","1"
"i still ","think","in",NA
"the schools ","were","in",NA
"duck breast ","23","cancer",NA
"the blaze ","is","he",NA
"restaurants its ","first","a",NA
"a deal ","except","with",NA
"estate lending ","that","a",NA
"that banks ","are","that",NA
"said if ","she","you",NA
"by executive ","branch","director",NA
"france australia ","and","to",NA
"comedy songwriting ","and","NA",NA
"where it ","started","was",NA
"rear but ","when","i",NA
"parmesan broth ","and","the","2"
"a personal ","message","or",NA
"hunterdon and ","somerset","the",NA
"about improving ","its","somewhat",NA
"70 players ","trying","to",NA
"scheduled to ","open","the",NA
"cook county ","medical","and",NA
"if it ","isnt","was",NA
"and many ","months","of",NA
"such as ","lightning","a",NA
"to wanting ","to","to","1"
"suspect after ","a","the","2"
"first solo ","project","album",NA
"state’s county ","college","and",NA
"poetry comedy ","songwriting","the",NA
"am not ","punishing","a",NA
"all jeans ","are","often",NA
"the crisis ","hit","and",NA
"parents have ","to","a","2"
"and twothirds ","bottle","of",NA
"now wearing ","underwear","a",NA
"get started ","around","to",NA
"sorry ive ","seen","been",NA
"open sept ","24","11",NA
"20 and ","a","the","3"
"your lending ","changed","a",NA
"started around ","630","the",NA
"some of ","those","the",NA
"jeans are ","not","you",NA
"stingy on ","lending","the",NA
"to portend ","its","NA",NA
"the truth ","in","is",NA
"food cart ","and","and","1"
"and thirdly ","havent","NA",NA
"executive branch ","officials","of",NA
"james reddick ","58","NA",NA
"state forest ","fire","city",NA
"that effect ","is","of",NA
"culturally vibrant ","but","red",NA
"sales and ","counter","the",NA
"million in ","budget","the",NA
"out exactly ","when","what",NA
"aggravated assault ","with","on",NA
"yet that ","tanning","the",NA
"in obstacle ","course","NA",NA
"an outsider ","cannot","NA",NA
"allmale choir ","and","NA",NA
"balance work ","and","on",NA
"his days ","off","of",NA
"andy greene ","and","dont",NA
"crayons the ","doodlers","first",NA
"receptive to ","both","the",NA
"name of ","roosevelt","the",NA
"a replacement ","earlier","for",NA
"into the ","question","first",NA
"which you ","simply","can",NA
"embolism that ","can","the",NA
"distances under ","the","the","1"
"the town’s ","franciscan","NA",NA
"1700 written ","comments","by",NA
"students have ","steadily","a",NA
"to oregon ","state","state","1"
"fundraising and ","retail","the",NA
"later theyve ","come","been",NA
"suggested that ","terri","the",NA
"work for ","choir","the",NA
"greenhouse gas ","emissions","prices",NA
"minors could ","cost","be",NA
"pace of ","iphone","the",NA
"303 which ","was","is",NA
"credit hour ","would","at",NA
"analytical powers ","he","of",NA
"canyon will ","be","be","1"
