"ngram","target","top","accuracy"
"is ","a","a","1"
"and ","i","the","2"
"i ","think","was",NA
"of ","my","the","3"
"like ","to","a","2"
"are ","not","you",NA
"such ","a","as","2"
"and ","that","the",NA
"had ","to","a","2"
"you ","want","can",NA
"to ","use","the",NA
"of ","all","the",NA
"for ","me","the","3"
"think ","its","i",NA
"last ","month","year",NA
"said ","if","the",NA
"approval ","of","of","1"
"he ","has","was",NA
"become ","a","a","1"
"are ","still","you",NA
"couple ","of","of","1"
"into ","my","the",NA
"at ","any","the",NA
"trying ","to","to","1"
"and ","their","the",NA
"some ","people","of","2"
"i ","got","was",NA
"to ","spend","the",NA
"exposed ","to","to","1"
"that ","should","the",NA
"to ","offer","the",NA
"good ","thing","for",NA
"prefer ","to","to","1"
"just ","two","a",NA
"write ","about","a","3"
"of ","that","the",NA
"now ","i","i","1"
"made ","and","a",NA
"made ","the","a","2"
"the ","building","first",NA
"like ","he","a",NA
"worked ","in","with",NA
"to ","settle","the",NA
"who ","are","is","2"
"a ","winter","lot",NA
"in ","2008","the",NA
"the ","better","first",NA
"24 ","and","hours",NA
"today ","it","i",NA
"into ","other","the",NA
"the ","700","first",NA
"you ","free","can",NA
"home ","12","and",NA
"pulled ","to","it",NA
"doesnt ","consider","have",NA
"park ","avenue","for",NA
"be ","worn","a",NA
"vin ","and","lananna",NA
"backward ","now","NA",NA
"as ","suspicious","a",NA
"social ","work","media",NA
"leave ","open","the",NA
"dessert ","talents","of",NA
"seek ","out","out","1"
"girl ","in","and",NA
"portend ","its","NA",NA
"thesmithcentercom ","or","NA",NA
"undoubtedly ","will","NA",NA
"niwot ","def","NA",NA
"will ","now","be",NA
"visited ","24","in",NA
"methodist ","church","NA",NA
"shortstop ","went","NA",NA
"area ","where","of",NA
"saturday ","april","and",NA
"branch ","officials","of",NA
"with ","duck","the",NA
"taste ","150350","of",NA
"as ","eb5","a",NA
"thirdly ","havent","NA",NA
"grownups ","on","will",NA
"said ","deposits","the",NA
"bits ","escalated","of",NA
"snow ","other","white",NA
"its ","definitely","a",NA
"specifics ","from","from","1"
"an ","ohsfca","hour",NA
"behind ","a","the",NA
"ruiz ","a","NA",NA
"also ","plans","a",NA
"all ","clothing","the",NA
"wear ","his","a",NA
"to ","dial","the",NA
"keep ","control","up",NA
"area ","has","of",NA
"3089 ","square","NA",NA
"sausage ","dates","and",NA
"obama ","administration","is",NA
"canyon ","will","hoping",NA
"158000 ","federal","NA",NA
"time ","needed","to",NA
"turn ","brown","the",NA
"truck ","race","is",NA
"comment ","in","on",NA
"ran ","on","into",NA
"laurels ","after","NA",NA
"while ","a","the",NA
"single ","existing","day",NA
"are ","losing","you",NA
"unemployment ","led","rate",NA
"– ","was","and",NA
"recent ","years","years","1"
"latter ","of","moved",NA
"rundown ","between","and",NA
"released ","its","the",NA
"who ","suggested","is",NA
"us ","carrier","to",NA
"chevrolet ","cruze","NA",NA
"of ","loop","the",NA
"the ","match","first",NA
"service ","time","and",NA
"obviously ","that","i",NA
"remain ","the","in",NA
"denver ","water","protesters",NA
"month ","another","and",NA
"curriculum ","the","NA",NA
"no ","onesizefitsall","one",NA
"964 ","arbor","NA",NA
"strontia ","springs","NA",NA
"thunderbolts ","held","NA",NA
"that ","became","the",NA
"gain ","market","comes",NA
"appeals ","judge","judge","1"
"dr ","232000","seuss",NA
"increase ","by","in",NA
"could ","solve","be",NA
"gooey ","pulp","stuff",NA
"testified ","that","at",NA
"oil ","rallied","and",NA
"several ","durufle","years",NA
"each ","person","other",NA
"by ","514","the",NA
"apple ","needs","is",NA
"organ ","martin","as",NA
"since ","tuition","the",NA
"brought ","in","in","1"
"another ","judge","time",NA
"and ","absenteeism","the",NA
"its ","longdelayed","a",NA
"proficient ","in","NA",NA
"recorded ","interview","20",NA
"where ","students","i",NA
"for ","students","the",NA
"embolism ","and","NA",NA
"very ","patient","much",NA
"contractor ","removes","will",NA
"light ","rum","of",NA
"the ","childs","first",NA
"votes ","in","for",NA
"energys ","application","NA",NA
"in ","fact","the",NA
"values ","dropped","and",NA
"to ","harsh","the",NA
"subjects ","deputy","and",NA
"worth ","noting","of",NA
"at ","341","the",NA
"progressed ","in","oklahoma",NA
"no ","bunch","one",NA
"selecting ","a","a","1"
"analytical ","powers","NA",NA
"penalty ","for","then","2"
"menace ","to","NA",NA
"games ","2516","and",NA
"indefinitely ","rather","NA",NA
"have ","steadily","a",NA
"decide ","love","to",NA
"a ","return","lot",NA
"zach ","parise","NA",NA
"brunswick ","where","the",NA
"being ","planned","a",NA
"would ","support","be",NA
"allow ","fans","the",NA
"tanning ","bed","NA",NA
"internal ","and","revenue",NA
"eran ","mordel","NA",NA
"got ","a","to","2"
"we ","need","are",NA
"that ","she","the",NA
"all ","that","the","3"
"many ","of","of","1"
"said ","to","the",NA
"him ","and","to","2"
"it ","but","was",NA
"how ","the","to","3"
"a ","wonderful","lot",NA
"can ","do","be","2"
"in ","one","the",NA
"you ","the","can",NA
"the ","door","first",NA
"may ","have","be","2"
"free ","to","to","1"
"too ","many","much","2"
"really ","good","good","1"
"do ","a","you",NA
"and ","will","the",NA
"was ","just","a",NA
"here ","i","is",NA
"all ","over","the",NA
"called ","the","the","1"
"was ","one","a",NA
"is ","our","a",NA
"to ","one","the",NA
"we ","know","are",NA
"you ","say","can",NA
"a ","real","lot",NA
"the ","event","first",NA
"to ","push","the",NA
"listening ","to","to","1"
"for ","us","the",NA
"to ","participate","the",NA
"watch ","the","the","1"
"of ","one","the",NA
"us ","in","to","3"
"hear ","about","the",NA
"wait ","for","to","2"
"make ","you","a",NA
"as ","she","a",NA
"as ","this","a",NA
"one ","and","of",NA
"to ","every","the",NA
"for ","more","the",NA
"were ","being","not",NA
"has ","never","been",NA
"the ","air","first",NA
"ahead ","and","of","2"
"how ","do","to",NA
"kinds ","of","of","1"
"with ","them","the",NA
"not ","one","a",NA
"as ","many","a",NA
"sure ","the","to",NA
"them ","the","to",NA
"you ","just","can",NA
"world ","of","and","2"
"even ","more","if","3"
"that’s ","why","what","3"
"she ","has","was",NA
"sure ","that","to","3"
"time ","it","to",NA
"the ","servant","first",NA
"next ","to","week","3"
"even ","in","if",NA
"and ","here","the",NA
"i ","havent","was",NA
