"ngram","target","top","accuracy"
"week from 5 ","to","million",NA
"it will be ","the","a","2"
"whats not to ","love","the",NA
"field said she ","never","was",NA
"a goal at ","65","the",NA
"not punishing my ","child","life",NA
"just out of ","college","the",NA
"nosy people at ","the","the","1"
"from san jose ","state","calif",NA
"has secured investors ","for","that",NA
"office —found numerous ","lobbyist","times",NA
"college others have ","been","a","3"
"project suzette a ","combination","lot",NA
"twothirds bottle 133375 ","corso","NA",NA
"niwot def alec ","leeadam","baldwin",NA
"to wear all ","clothing","the",NA
"expire she’ll bartend ","or","NA",NA
"the new american ","greetings","bottom",NA
"forest fire service ","officials","and",NA
"for tressel maybe ","even","the","3"
"out for a ","possible","lot",NA
"and that gets ","old","a",NA
"specifics from san ","jose","francisco",NA
"1 and 3 ","inches","days",NA
"a winter weather ","advisory","is",NA
"dessert talents is ","opening","a",NA
"big long conversation ","about","with","2"
"rain in the ","early","first",NA
"by pretending to ","dial","the",NA
"schools educated nearly ","400000","two",NA
"as lightning have ","been","a","3"
"started around 630 ","pm","am","2"
"also plans to ","keep","the",NA
"corsos wines can ","be","be","1"
"by the taste ","150350","of",NA
"scheduled to open ","sept","to",NA
"interment in fairview ","cemetery","ore",NA
"and work training ","programs","and",NA
"in the first ","half","time","3"
"undoubtedly will demand ","specifics","for",NA
"under garments out ","his","of",NA
"cranford united methodist ","church","NA",NA
"stingy on lending ","how","a",NA
"roster spot they ","came","are",NA
"ito they met ","at","with",NA
"chris robinson took ","a","a","1"
"same time the ","mountain","first",NA
"low in the ","county","first",NA
"is an etiquette ","column","NA",NA
"the incredible experience ","of","in","3"
"will be the ","subject","first",NA
"and truck series ","race","of",NA
"to harsh measures ","that","to",NA
"said hopefully ill ","be","be","1"
"makes more attractive ","after","teams",NA
"in the shade ","of","of","1"
"— that they ","should","are",NA
"draft has until ","oct","the",NA
"perceived fears are ","the","you","2"
"senior managing director ","with","of",NA
"70000 penalty for ","drilling","the",NA
"aftermath of the ","buffalo","first",NA
"the contest fits ","in","the","3"
"it was startling ","to","NA",NA
"i could send ","you","me","2"
"and counter the ","rising","first",NA
"liked them in ","september","the",NA
"back for these ","two","are",NA
"plants there was ","reason","a",NA
"clear as mehlville ","behind","football",NA
"and independent authorities ","committee","said",NA
"obama administration on ","tuesday","the",NA
"greece offered assurances ","that","NA",NA
"on his days ","off","of",NA
"officer last summer ","he","and",NA
"version of the ","work","first",NA
"very patient during ","the","the","1"
"look at durufles ","masterpiece","NA",NA
"made because of ","the","the","1"
"juggling fundraising and ","retail","the",NA
"of frameline the ","lgbt","first",NA
"few words to ","alfaro","the",NA
"million in budget ","cuts","and",NA
"dropped out exactly ","when","what",NA
"of my dichondra ","it","NA",NA
"deputy superintendent evelyn ","ogden","NA",NA
"the children suffer ","here","the",NA
